GiftId,TripId
77,1234
118,4385
152,4356
155,1630
157,3850
167,2288
218,3922
287,2660
296,2988
302,3732
309,4961
390,4637
424,3328
538,911
569,1610
576,500
593,4226
669,3656
725,816
1018,1647
1035,5128
1127,3771
1134,3273
1148,1150
1154,4285
1180,3232
1238,136
1294,612
1300,2898
1323,123
1375,300
1383,2645
1446,263
1462,1175
1610,1630
1749,126
1759,1315
1798,732
1820,4298
1852,1682
1899,569
1938,432
1969,2600
2044,765
2099,2444
2205,2996
2224,4879
2261,1270
2273,4355
2280,4720
2375,1382
2406,4406
2435,559
2484,2504
2573,1607
2581,2451
2670,1186
2720,1035
2727,5056
2852,2735
2855,291
2898,3364
2920,5223
2987,4878
2988,912
3058,3662
3076,3816
3110,4449
3222,2494
3335,3131
3374,1818
3376,1145
3401,1484
3411,4578
3422,4743
3441,60
3448,4245
3495,2978
3502,5258
3530,597
3531,732
3655,3612
3715,5003
3769,4870
3803,2003
3821,1757
3832,1353
3860,4575
3881,267
3901,1497
3973,2939
3994,4388
4050,1816
4156,4439
4177,2699
4182,2574
4224,1608
4225,4856
4232,1219
4267,1636
4376,434
4386,1664
4401,442
4464,2639
4645,1030
4657,5222
4730,1671
4837,2530
4843,3700
4889,4162
4904,991
4914,3887
4936,3000
4963,879
4970,2412
5047,4071
5050,972
5109,3625
5113,2175
5153,2262
5158,1979
5194,1272
5210,3834
5234,129
5262,3304
5276,4964
5310,2709
5420,1658
5442,733
5465,616
5471,978
5473,5079
5553,1098
5567,1002
5571,1990
5686,984
5782,4370
5892,250
5934,6
5937,2566
6021,2535
6029,1066
6055,3209
6062,764
6163,4077
6174,3428
6278,2744
6288,2810
6332,1483
6425,1130
6562,3120
6590,4522
6594,2740
6652,3414
6688,4358
6713,1204
6763,4750
6800,2030
6863,3538
6910,681
6968,2551
7021,4142
7110,4688
7115,1960
7236,3013
7293,1269
7328,3891
7459,4111
7629,427
7735,941
7778,1318
7779,4037
7808,895
7845,3959
7865,2164
7898,3493
7992,1944
8027,3192
8041,325
8047,2412
8050,4690
8136,2466
8251,4848
8265,4855
8322,4621
8398,27
8443,3501
8467,4173
8471,1713
8503,1956
8717,5007
8766,1233
8800,1263
8865,3221
8912,4600
8946,3879
8953,157
9054,2918
9131,2143
9224,197
9351,4420
9413,4477
9474,4984
9478,5221
9510,758
9525,4717
9543,1894
9601,4105
9616,3139
9639,255
9678,2747
9847,2782
9886,2818
9896,880
9963,3362
10002,2442
10141,4161
10229,2111
10235,2558
10299,2462
10337,2988
10339,970
10344,25
10397,2389
10506,2015
10539,4289
10557,2959
10683,3020
10692,4163
10740,3259
10802,4309
10834,1816
10870,152
10882,3521
10948,3397
10966,80
11002,1439
11004,2850
11064,4091
11071,2707
11091,4014
11142,1708
11155,1658
11211,2508
11234,1229
11350,554
11397,3888
11427,244
11439,2643
11591,716
11605,4347
11624,381
11632,1490
11645,4964
11677,3486
11683,1238
11802,1953
11842,1170
11925,2078
11943,3693
12074,2605
12094,2707
12104,431
12127,157
12205,105
12227,3465
12240,3181
12265,1976
12285,5087
12305,1971
12317,2116
12339,301
12404,712
12436,2160
12484,501
12530,4790
12695,1723
12773,3512
12826,1109
12872,625
12998,1597
13030,1644
13042,1614
13058,823
13078,2249
13124,1971
13157,2187
13226,4064
13292,3156
13318,447
13335,2510
13402,622
13478,2084
13539,4868
13550,2400
13562,3067
13572,2576
13743,2381
13783,1099
13827,879
13921,3693
13932,1192
14020,3768
14032,2039
14060,4386
14119,4646
14146,87
14237,429
14301,1579
14327,260
14331,5081
14449,286
14472,2416
14473,2644
14545,108
14558,3566
14691,3557
14709,228
14727,2470
14784,620
14816,4322
14848,4267
14850,4602
14862,2668
14955,1864
14971,2085
15082,2075
15252,1441
15284,2290
15299,4149
15310,3216
15351,3739
15380,758
15415,4269
15563,1399
15609,4792
15678,2304
15686,4216
15704,2764
15735,3921
15787,3111
15815,2891
15846,1708
15861,1450
15890,2693
15904,274
15933,35
15943,1148
16024,1676
16028,5259
16072,99
16089,4151
16146,4433
16215,5219
16279,533
16283,2177
16336,242
16343,5080
16386,2685
16443,1135
16580,3497
16634,1690
16682,5031
16699,3356
16704,2022
16716,40
16731,2730
16752,1018
16775,876
16777,3450
16870,1722
16876,3750
16934,2435
16944,2615
16949,2667
16960,2512
16985,1843
16999,3513
17131,5117
17338,1782
17369,2827
17411,1208
17413,3015
17485,711
17505,1953
17573,356
17649,5217
17760,41
17793,1350
17857,2502
17871,4770
17943,1201
17968,1357
17989,2740
18034,3204
18043,2571
18065,4831
18067,2963
18111,3305
18132,2401
18154,1057
18168,573
18240,1867
18248,4242
18272,3491
18323,1463
18325,4582
18332,4162
18360,739
18378,2919
18411,3236
18435,2275
18472,5184
18487,396
18505,3347
18523,556
18525,2785
18533,3843
18562,3926
18602,4455
18676,5033
18726,395
18755,1319
18820,3262
18826,765
18842,2491
18872,934
18878,105
18929,449
18930,1351
19000,1905
19005,5131
19053,4489
19095,4845
19151,3278
19181,1926
19243,7
19281,1019
19286,2231
19289,2664
19293,281
19604,1504
19678,1664
19773,2412
19785,4697
19830,2484
19867,163
20000,730
20044,5194
20089,4377
20106,2049
20126,2009
20158,3797
20159,4007
20217,2584
20259,2255
20266,3219
20302,3517
20393,1553
20397,1448
20525,5251
20548,3740
20592,4790
20660,4968
20685,4834
20713,3541
20768,2090
20805,3383
20825,4638
20833,2253
20865,4848
20866,3532
20959,365
20990,4053
21099,2362
21130,3100
21155,2509
21159,806
21182,1179
21226,5080
21294,1666
21336,764
21343,2395
21674,5156
21723,4600
21785,4969
21882,1930
21917,4193
21992,2711
22046,3001
22093,3971
22160,2257
22173,435
22242,3304
22339,3902
22357,623
22384,2028
22389,149
22452,4062
22503,2136
22510,848
22614,2773
22619,2812
22688,326
22691,1961
22747,5099
22845,1103
23003,2160
23008,1432
23018,321
23082,1780
23105,4901
23134,2348
23139,2593
23199,1324
23210,2504
23250,1917
23313,8
23355,935
23431,5013
23632,3694
23638,4837
23664,3190
23686,2146
23690,1806
23751,619
23810,1691
23813,5062
23817,2350
23846,2394
23870,2696
23962,2811
24020,141
24068,4094
24071,1259
24080,1587
24096,3181
24135,4333
24173,3168
24181,2292
24212,4836
24226,141
24359,1001
24377,3005
24463,269
24471,2223
24539,1958
24570,375
24587,286
24605,3261
24618,1300
24621,4918
24664,750
24693,1681
24694,3297
24701,2318
24794,4881
24842,420
24847,975
24937,578
24941,5158
24983,1088
25010,716
25028,3993
25156,4031
25185,3644
25276,3322
25305,1723
25336,1842
25375,3091
25401,1295
25502,2562
25512,1602
25762,3437
25801,3284
25825,424
25874,2861
25959,624
25982,4401
26053,2183
26190,3836
26298,3311
26359,629
26395,3220
26398,296
26520,950
26543,2313
26550,2339
26551,640
26627,1476
26777,4563
26802,405
26808,2734
26819,4069
27005,3641
27010,5133
27085,4058
27100,4992
27115,2336
27142,3633
27148,403
27266,3206
27338,5146
27405,2523
27506,4197
27612,2616
27645,4114
27662,2853
27689,3018
27717,3485
27732,856
27758,2810
27768,4337
27778,3566
27842,2258
27862,1573
27958,1192
28033,4658
28061,224
28069,5010
28073,3829
28074,2704
28181,2680
28337,4391
28376,1439
28428,54
28454,2925
28455,2830
28544,795
28568,523
28626,1668
28700,2021
28714,4524
28719,3636
28732,2247
28836,4889
28837,3290
28862,3502
28903,4194
28942,44
28992,3721
28996,2286
29009,4391
29037,3206
29109,2552
29198,3523
29254,4809
29258,3636
29318,3469
29328,4571
29396,336
29402,3130
29475,1234
29481,2681
29522,2578
29591,3969
29597,4449
29604,1541
29660,1524
29661,1695
29773,4018
29842,2491
29860,3798
29870,1022
29915,4792
29917,2566
30046,3778
30053,1905
30071,752
30082,1815
30083,3081
30143,3183
30147,2587
30198,4315
30211,4402
30258,2453
30288,4121
30311,2340
30383,3237
30495,696
30520,3617
30531,4283
30597,1149
30692,870
30815,3081
30819,3580
30916,2575
30979,1927
31067,3996
31132,1954
31140,3184
31155,4847
31211,3599
31212,3016
31293,5134
31337,2931
31400,1217
31467,1940
31476,3613
31511,2126
31519,4593
31600,772
31658,1041
31668,4624
31671,2217
31683,1712
31693,3348
31713,1251
31744,4129
31821,5053
31834,3173
31872,3861
31958,139
32003,4808
32011,2028
32050,1353
32124,4890
32170,2107
32235,3743
32279,4351
32379,4347
32380,4137
32387,2697
32390,2295
32393,4156
32427,4866
32470,510
32532,1790
32534,2226
32563,4819
32581,910
32622,1043
32631,4991
32664,836
32674,4725
32807,144
32833,3241
32923,1081
32962,1673
32994,774
33031,1027
33065,767
33099,949
33120,3743
33150,274
33195,1475
33213,4280
33224,687
33291,5206
33335,3554
33369,1839
33424,181
33428,1669
33449,1916
33476,4311
33498,4230
33533,1087
33590,3618
33672,3054
33680,4900
33681,4998
33692,4555
33707,3591
33734,3017
33762,4904
33772,5152
33876,150
33942,1616
33946,786
33953,3623
34118,1613
34170,2598
34208,1104
