"GiftId","TripId"
77,9
118,1454
152,2220
155,1687
157,3153
167,1054
218,4518
287,4093
296,2968
302,1543
309,3418
390,4828
424,1244
538,4677
569,4688
576,91
593,3343
669,487
725,4098
1018,4259
1035,259
1127,3788
1134,175
1148,2532
1154,1515
1180,4300
1238,2417
1294,1243
1300,4045
1323,3408
1375,832
1383,4350
1446,2071
1462,4309
1610,1224
1749,1260
1759,2299
1798,4815
1820,1086
1852,3075
1899,981
1938,510
1969,2366
2044,3245
2099,2162
2205,4280
2224,883
2261,617
2273,4067
2280,3836
2375,420
2406,5086
2435,53
2484,1
2573,727
2581,3627
2670,363
2720,4077
2727,4621
2852,1198
2855,2676
2898,1699
2920,2281
2987,742
2988,1242
3058,3812
3076,3612
3110,3151
3222,4636
3335,2065
3374,4117
3376,993
3401,2131
3411,5035
3422,4626
3441,321
3448,3324
3495,417
3502,4114
3530,1215
3531,2950
3655,2859
3715,1946
3769,2567
3803,4181
3821,2541
3832,1908
3860,2935
3881,1597
3901,2701
3973,3168
3994,4326
4050,1735
4156,2556
4177,250
4182,5026
4224,980
4225,1349
4232,875
4267,1075
4376,2024
4386,3364
4401,2354
4464,1445
4645,1202
4657,598
4730,2409
4837,2830
4843,2493
4889,3736
4904,5098
4914,3951
4936,445
4963,1084
4970,4517
5047,3688
5050,3905
5109,4178
5113,2558
5153,1004
5158,1481
5194,5036
5210,3671
5234,4292
5262,3177
5276,3939
5310,4316
5420,1527
5442,4236
5465,1674
5471,120
5473,3206
5553,667
5567,5116
5571,4446
5686,950
5782,4502
5892,261
5934,215
5937,114
6021,495
6029,4299
6055,3387
6062,4190
6163,1110
6174,4787
6278,4789
6288,3607
6332,2714
6425,1653
6562,4803
6590,3406
6594,211
6652,5020
6688,2692
6713,1765
6763,3299
6800,2435
6863,5130
6910,4916
6968,3416
7021,1651
7110,2966
7115,2997
7236,324
7293,3603
7328,4238
7459,2871
7629,1793
7735,325
7778,4567
7779,923
7808,4342
7845,3906
7865,3297
7898,3314
7992,1524
8027,2658
8041,2375
8047,4232
8050,823
8136,708
8251,995
8265,2953
8322,3923
8398,1074
8443,1087
8467,3455
8471,3287
8503,1027
8717,3665
8766,4944
8800,1039
8865,3423
8912,3592
8946,3904
8953,3876
9054,1968
9131,2952
9224,4563
9351,3978
9413,3385
9474,2917
9478,4673
9510,2760
9525,3805
9543,317
9601,4440
9616,2187
9639,485
9678,3367
9847,4919
9886,514
9896,1706
9963,1290
10002,2313
10141,479
10229,896
10235,1568
10299,4313
10337,2968
10339,2317
10344,1575
10397,1438
10506,4693
10539,5168
10557,4135
10683,2548
10692,1614
10740,2657
10802,3614
10834,2210
10870,3246
10882,2489
10948,1601
10966,2607
11002,5166
11004,1947
11064,1821
11071,1713
11091,331
11142,257
11155,1997
11211,347
11234,2190
11350,1122
11397,1102
11427,1594
11439,2177
11591,503
11605,3135
11624,5241
11632,1681
11645,3939
11677,2047
11683,2066
11802,3154
11842,1773
11925,3301
11943,4016
12074,4852
12094,1713
12104,109
12127,5177
12205,1577
12227,2351
12240,3495
12265,2797
12285,1618
12305,373
12317,1516
12339,4086
12404,416
12436,2122
12484,712
12530,2742
12695,1043
12773,4571
12826,2337
12872,410
12998,1316
13030,663
13042,4500
13058,1309
13078,2620
13124,5229
13157,3194
13226,3050
13292,2819
13318,1274
13335,90
13402,4606
13478,4338
13539,127
13550,3011
13562,3760
13572,1788
13743,1173
13783,3259
13827,1084
13921,3835
13932,4905
14020,4592
14032,1573
14060,684
14119,2662
14146,2858
14237,818
14301,4473
14327,4696
14331,2825
14449,2963
14472,169
14473,1362
14545,3820
14558,3371
14691,4244
14709,2094
14727,5033
14784,5041
14816,2863
14848,4170
14850,4345
14862,4787
14955,4113
14971,2559
15082,516
15252,3068
15284,2119
15299,3621
15310,5024
15351,2405
15380,244
15415,530
15563,2525
15609,3110
15678,1935
15686,2517
15704,2293
15735,2684
15787,1707
15815,1211
15846,257
15861,5260
15890,591
15904,1231
15933,483
15943,3817
16024,945
16028,3163
16072,1308
16089,1552
16146,2334
16215,626
16279,5137
16283,3221
16336,2710
16343,429
16386,4989
16443,4982
16580,4549
16634,3518
16682,3362
16699,505
16704,385
16716,2871
16731,1936
16752,3864
16775,2719
16777,5017
16870,4845
16876,5141
16934,2764
16944,4194
16949,4096
16960,597
16985,3514
16999,3404
17131,4969
17338,1342
17369,4924
17411,392
17413,2001
17485,2259
17505,3154
17573,340
17649,1986
17760,4733
17793,999
17857,2470
17871,192
17943,753
17968,3412
17989,2956
18034,5047
18043,509
18065,5065
18067,4185
18111,1384
18132,1561
18154,4116
18168,4402
18240,2357
18248,2103
18272,5121
18323,2132
18325,1214
18332,3736
18360,1042
18378,4636
18411,4109
18435,4533
18472,3381
18487,3473
18505,4046
18523,2814
18525,2260
18533,819
18562,1498
18602,4879
18676,1895
18726,3564
18755,2415
18820,2630
18826,3245
18842,195
18872,150
18878,3255
18929,2356
18930,2579
19000,469
19005,1395
19053,4808
19095,38
19151,3671
19181,4615
19243,391
19281,2643
19286,4662
19289,1279
19293,1793
19604,3730
19678,3364
19773,4517
19785,4363
19830,1840
19867,1061
20000,4333
20044,345
20089,2181
20106,4601
20126,2403
20158,150
20159,3171
20217,46
20259,2583
20266,5161
20302,3438
20393,3183
20397,656
20525,1440
20548,4712
20592,3033
20660,3131
20685,3957
20713,2108
20768,2015
20805,3399
20825,132
20833,2619
20865,1330
20866,674
20959,433
20990,1694
21099,1781
21130,4883
21155,797
21159,3889
21182,3942
21226,429
21294,3502
21336,4190
21343,2696
21674,2148
21723,482
21785,120
21882,4874
21917,2644
21992,2534
22046,1706
22093,1288
22160,3237
22173,545
22242,3177
22339,96
22357,934
22384,3025
22389,371
22452,856
22503,129
22510,3053
22614,331
22619,4365
22688,644
22691,4701
22747,1329
22845,2348
23003,2122
23008,4309
23018,2363
23082,1431
23105,308
23134,5203
23139,354
23199,860
23210,1
23250,1417
23313,1536
23355,1232
23431,2565
23632,5114
23638,837
23664,406
23686,712
23690,3283
23751,2959
23810,839
23813,4837
23817,922
23846,2117
23870,1588
23962,3062
24020,2151
24068,2900
24071,2611
24080,1049
24096,3751
24135,1323
24173,3353
24181,234
24212,1504
24226,2151
24359,837
24377,946
24463,3322
24471,1932
24539,4859
24570,5211
24587,2963
24605,4085
24618,160
24621,2756
24664,1857
24693,4328
24694,5085
24701,2693
24794,750
24842,1092
24847,481
24937,3499
24941,2229
24983,2957
25010,3101
25028,25
25156,1318
25185,178
25276,3656
25305,239
25336,4979
25375,1712
25401,93
25502,1410
25512,3575
25762,308
25801,913
25825,4131
25874,484
25959,1390
25982,82
26053,745
26190,927
26298,2359
26359,4009
26395,2446
26398,2008
26520,963
26543,1389
26550,4235
26551,1319
26627,5100
26777,3554
26802,2333
26808,3792
26819,1132
27005,1348
27010,506
27085,3065
27100,1953
27115,4172
27142,4024
27148,5157
27266,3669
27338,2406
27405,5136
27506,134
27612,2521
27645,4976
27662,4397
27689,2563
27717,3559
27732,1806
27758,3607
27768,3807
27778,3371
27842,4769
27862,614
27958,3824
28033,4418
28061,758
28069,2286
28073,3427
28074,4949
28181,3583
28337,1704
28376,5166
28428,1101
28454,5012
28455,4562
28544,3629
28568,4087
28626,3397
28700,4579
28714,3764
28719,2736
28732,4339
28836,898
28837,1197
28862,1163
28903,1679
28942,4166
28992,3754
28996,4273
29009,1704
29037,3669
29109,3217
29198,4263
29254,3253
29258,2892
29318,4764
29328,3753
29396,4528
29402,2925
29475,9
29481,2023
29522,472
29591,3531
29597,3151
29604,3389
29660,970
29661,2863
29773,3856
29842,195
29860,1747
29870,1578
29915,3110
29917,114
30046,5089
30053,469
30071,1532
30082,4372
30083,5016
30143,1845
30147,1392
30198,2223
30211,4835
30258,3420
30288,2748
30311,2441
30383,1055
30495,2292
30520,1343
30531,1472
30597,5236
30692,1063
30815,5016
30819,4507
30916,399
30979,964
31067,188
31132,1176
31140,1841
31155,4082
31211,2885
31212,4289
31293,2812
31337,3791
31400,1018
31467,815
31476,2475
31511,4991
31519,87
31600,953
31658,3895
31668,3332
31671,3774
31683,4252
31693,5153
31713,1374
31744,183
31821,1032
31834,2045
31872,817
31958,4191
32003,3099
32011,2591
32050,1908
32124,1189
32170,2679
32235,655
32279,1065
32379,2000
32380,2527
32387,4023
32390,752
32393,1610
32427,241
32470,792
32532,1491
32534,4719
32563,3594
32581,3458
32622,2264
32631,3012
32664,2049
32674,3907
32807,3785
32833,4094
32923,3769
32962,2631
32994,2374
33031,2036
33065,2192
33099,202
33120,917
33150,1231
33195,4074
33213,4958
33224,3080
33291,786
33335,3159
33369,1145
33424,4532
33428,4936
33449,4768
33476,1287
33498,1170
33533,2290
33590,5015
33672,267
33680,4890
33681,3162
33692,4684
33707,2225
33734,1866
33762,1772
33772,3070
33876,3572
33942,739
33946,4290
33953,2003
34118,3202
34170,3607
34208,4213
34213,2245
34268,65
34301,271
34309,1210
34333,4829
34343,4289
34416,3140
34465,1450
34550,1905
34668,5190
34670,4533
34683,1458
34697,3610
34706,2577
34738,1130
34768,432
34822,4210
34903,4444
34910,3989
35030,35
35075,785
35160,448
35213,4080
35229,3908
35246,1736
35321,57
35352,1505
35367,3751
35435,409
35492,1882
35519,625
35620,5037
35636,5047
35711,919
35785,2235
35840,2968
35855,319
35874,1408
36096,956
36140,310
36188,4903
36220,5190
36224,659
36238,2540
36273,1731
36285,2387
36290,60
36331,2444
36357,1219
36452,3246
36475,1312
36511,3684
36527,3689
36537,1472
36585,1488
36656,1492
36667,3763
36668,4583
36669,3285
36704,1834
36718,1495
36759,1209
36807,567
36904,4146
36923,971
36928,2781
37029,1324
37082,2062
37083,4601
37095,2563
37159,3107
37166,439
37174,873
37264,3439
37321,1000
37413,1559
37432,178
37478,899
37489,1749
37508,1127
37515,2603
37591,182
37626,4583
37664,4118
37666,2678
37867,4005
37960,3143
38010,5219
38046,415
38075,4957
38086,998
38196,3570
38246,1785
38253,2064
38352,814
38392,4903
38468,2598
38503,1355
38522,1298
38583,2196
38626,1946
38765,3464
38795,805
38803,3945
38804,860
38837,5075
38899,2990
38910,955
38946,2906
38981,1401
39064,2403
39088,5182
39116,1496
39168,3287
39187,1362
39222,3697
39228,1717
39230,3716
39288,260
39303,1388
39310,4102
39387,4955
39394,4225
39478,658
39490,1165
39547,4574
39611,3977
39650,2808
39664,732
39715,3097
39768,3030
39807,4736
39837,1236
39875,4754
39971,455
40003,2019
40078,1403
40083,551
40094,1724
40141,3292
40192,2217
40217,2873
40316,1530
40333,5196
40349,200
40392,3511
40393,4888
40397,3551
40502,1818
40518,598
40607,2973
40736,4432
40741,689
40780,1573
40789,2616
40897,720
40911,1493
40968,1778
40980,2527
41064,4391
41125,2687
41164,4290
41250,843
41264,2045
41294,4198
41302,4466
41315,5013
41401,4841
41425,3883
41455,3101
41488,243
41610,3499
41632,2130
41670,375
41752,5214
41762,1613
41811,3384
41971,1643
42064,275
42071,3614
42142,2722
42239,1003
42243,591
42291,1875
42334,1768
42406,3107
42414,2626
42436,5177
42455,4695
42500,4276
42524,3191
42525,1361
42530,4209
42563,3720
42566,4763
42641,3199
42643,5195
42709,4330
42748,972
42756,922
42764,116
42770,3183
42786,3774
42861,2846
42886,514
42944,3713
42993,2308
43048,2622
43056,3165
43115,4444
43136,3276
43149,4800
43233,4431
43237,1166
43283,3689
43375,3239
43514,308
43524,4938
43602,1077
43699,2177
43781,896
43813,280
43822,4225
43834,1422
43895,3927
43915,52
43924,628
43926,4764
43972,4579
43987,5099
43989,415
44004,3350
44020,4130
44043,1986
44063,3701
44095,4960
44179,4763
44182,4209
44224,3889
44245,1847
44290,703
44370,4897
44405,1836
44422,4852
44568,3043
44627,1805
44680,568
44716,3330
44760,2843
44764,2828
44985,2930
45142,2933
45206,2399
45371,2636
45372,240
45375,2785
45391,5036
45421,2009
45431,2360
45442,4387
45494,726
45549,61
45712,1853
45744,1036
45807,2765
45878,1286
45921,370
45945,3412
45966,2121
46020,3765
46056,2253
46057,1720
46065,15
46091,2865
46110,1021
46162,4758
46337,4307
46375,352
46380,1331
46394,3145
46412,1633
46415,2319
46459,4734
46492,223
46493,3506
46496,3876
46502,448
46576,188
46796,4056
46881,4965
46892,4917
46907,3782
46915,1099
46969,31
47056,2141
47162,1607
47201,5238
47213,138
47238,1843
47281,4408
47283,1911
47339,400
47347,3138
47411,837
47520,1127
47572,2183
47659,4606
47702,2820
47706,3116
47742,243
47786,771
47837,1443
47861,4495
47934,1937
48021,2101
48025,3866
48094,1657
48123,3530
48128,1961
48139,4137
48151,2225
48188,4534
48226,1551
48432,3208
48457,1991
48561,4292
48576,1947
48642,3990
48660,4615
48692,1173
48709,1955
48729,2341
48789,5160
48987,518
49003,2071
49013,1609
49137,3738
49156,4850
49158,4041
49231,1652
49308,2823
49394,4857
49407,914
49435,3944
49517,4417
49529,1035
49549,3131
49652,444
49680,456
49739,3941
49770,832
49818,781
49821,4639
49841,3685
49851,1694
49860,1814
49941,5161
49964,3854
50043,628
50087,846
50090,3431
50113,977
50290,267
50298,1868
50317,3645
50332,4417
50337,1842
50374,3681
50419,3876
50441,1641
50453,2092
50478,809
50491,854
50499,1764
50547,1758
50583,1486
50591,878
50592,4201
50604,2081
50701,2137
50740,196
50754,588
50755,2363
50806,4288
50853,4888
51034,1582
51063,1396
51065,383
51082,4196
51084,5235
51117,632
51129,4585
51136,826
51282,289
51292,4692
51294,5026
51326,3191
51337,668
51338,1041
51367,2218
51420,4334
51428,996
51587,689
51703,2254
52022,1159
52079,421
52091,828
52179,2107
52203,372
52258,4085
52367,4564
52422,3
52450,65
52488,268
52637,3722
52741,2371
52767,3515
52828,619
52872,699
52874,1449
52963,2558
52989,4718
52993,3958
53041,3443
53049,1000
53101,2870
53155,3826
53171,4643
53310,1253
53317,1502
53397,2043
53499,676
53512,3322
53520,3404
53574,5044
53597,436
53672,4219
53698,5255
53749,821
53766,1233
53865,116
53882,2566
53888,2073
53946,1876
54005,2131
54033,389
54042,1933
54159,3197
54168,2526
54265,882
54278,4058
54322,1904
54359,3049
54395,2515
54438,3603
54525,2991
54611,5017
54708,520
54743,2300
54778,4714
54787,4915
54805,375
54810,3890
54875,2484
54918,4458
54924,2956
54950,688
54961,303
54963,383
54991,2121
55003,2941
55048,2594
55084,2628
55115,1934
55119,1664
55129,106
55134,305
55153,2779
55157,2892
55168,5020
55191,540
55221,4898
55237,609
55261,4403
55365,1539
55383,4774
55424,2581
55464,1036
55485,3262
55493,1310
55569,2220
55591,600
55664,1824
55683,3208
55690,4015
55735,3130
55752,1867
55776,1360
55780,787
55802,731
55843,3014
55967,4590
55974,3376
55984,2395
56051,4430
56082,1803
56125,660
56294,3868
56295,158
56527,2203
56537,2696
56566,4113
56584,203
56642,4267
56716,2780
56825,3812
56838,2503
56929,275
56947,5059
56956,1298
56959,2491
57028,4137
57041,1743
57078,1759
57134,2579
57140,4152
57159,3510
57251,1346
57319,2873
57328,4205
57331,4672
57335,693
57342,2606
57367,3275
57420,3855
57612,2582
57691,4507
57701,2136
57722,4321
57744,2342
57752,753
57766,704
57795,2881
57922,5259
57927,1942
57966,119
58050,4948
58060,4481
58342,3879
58355,128
58360,3518
58372,324
58419,2632
58422,4315
58423,2576
58472,4537
58491,3650
58494,5167
58502,3985
58540,5007
58556,1497
58567,2472
58575,1373
58620,2745
58637,4151
58711,2949
58717,2646
58720,3837
58725,3776
58753,586
58767,193
58828,419
58855,3144
58972,709
58974,2365
58993,1540
59038,2627
59078,2033
59094,158
59107,3054
59154,4167
59200,4324
59208,2911
59254,961
59286,4869
59339,4284
59374,4140
59408,2615
59436,3967
59466,1281
59469,4578
59498,611
59515,4002
59517,232
59526,4312
59567,1325
59648,3724
59772,2899
59862,963
59884,3624
59900,1951
59906,1012
59952,63
59981,5006
59986,5225
60078,1735
60129,4870
60148,2340
60187,2047
60197,4329
60204,198
60249,2221
60255,2271
60453,4383
60509,511
60578,1871
60582,983
60585,2743
60594,1732
60666,1808
60694,1532
60750,4204
60752,4571
60771,413
60796,544
60877,2971
61061,5174
61100,2801
61127,3571
61147,426
61290,2008
61312,1947
61320,115
61339,1693
61402,3486
61468,351
61499,920
61523,1033
61526,2933
61585,2520
61646,375
61684,405
61693,1934
61930,2395
62013,2709
62031,1360
62129,4895
62214,1753
62298,4536
62334,5141
62385,659
62399,3690
62427,2456
62437,1525
62444,5216
62453,3273
62529,935
62539,2856
62600,3626
62606,1933
62624,4008
62646,1061
62685,5129
62687,1280
62689,2402
62690,3338
62729,2426
62762,1043
62806,4639
62865,597
62966,2993
63007,978
63068,4013
63169,1229
63178,4336
63196,1709
63232,1190
63365,2161
63415,2929
63459,3908
63513,2283
63601,435
63610,3961
63675,3121
63686,903
63755,3033
63759,4710
63760,1816
63765,504
63816,3882
63823,1340
63824,1642
63827,250
63875,2865
63948,2474
64328,4777
64441,437
64444,532
64492,2116
64540,3181
64578,1440
64585,975
64595,3214
64660,1128
64763,5174
64839,1245
64887,1327
64901,4018
65233,526
65322,1900
65325,2540
65367,827
65416,2435
65492,99
65567,3468
65625,2540
65668,973
65733,749
65751,3562
65786,4742
65837,2277
65879,4942
65966,4891
66054,3435
66064,486
66067,159
66069,834
66163,17
66233,5180
66362,4691
66392,993
66398,2715
66417,4768
66445,4687
66457,4341
66465,1308
66485,560
66501,1594
66518,4850
66553,1375
66626,2282
66631,566
66677,1608
66713,2029
66727,4189
66728,4790
66767,662
66770,3364
66781,1562
66808,1062
66853,1335
66856,841
66877,2273
66897,123
66908,2737
66920,3625
66962,5060
66971,2632
67012,4056
67017,3951
67098,160
67162,4776
67182,2447
67206,3964
67296,2517
67360,2240
67397,666
67542,247
67690,335
67862,3306
67866,3594
67872,3931
67913,20
67934,3770
67951,945
68144,4842
68157,312
68232,1779
68318,4227
68351,2051
68362,4714
68418,3215
68429,750
68537,4426
68541,2681
68568,702
68578,3387
68614,1612
68668,1812
68788,5086
68844,1395
68889,2363
68897,4940
68916,484
68942,2159
68988,3664
69057,2164
69063,1962
69079,162
69088,2803
69122,1705
69132,3302
69136,660
69176,5111
69189,4689
69193,1634
69219,4788
69237,3230
69417,1856
69418,650
69485,2648
69567,1319
69591,2482
69742,3418
69744,2614
69787,3365
69820,2347
69824,1983
69866,658
69897,1418
69924,3167
69945,1457
69980,2996
70031,2700
70049,853
70063,2157
70079,3229
70147,683
70149,5180
70181,3205
70184,1882
70230,4773
70275,390
70278,5077
70296,1519
70351,1336
70354,5217
70375,3397
70387,1659
70411,740
70457,4840
70492,897
70537,882
70617,3829
70654,5034
70665,1351
70768,906
70782,3843
70823,1780
70838,1801
70858,4059
70860,3778
70907,5089
71004,2826
71033,3883
71131,2415
71177,2418
71204,3797
71219,4314
71309,3925
71340,4603
71383,4978
71417,1809
71426,3823
71469,817
71508,4553
71538,673
71647,2944
71706,1243
71757,4736
71894,5244
71944,1197
71953,5039
71978,2962
71985,3427
72084,421
72144,209
72152,1981
72169,4701
72226,5263
72258,1492
72264,3576
72362,2382
72414,1583
72476,3356
72532,3014
72652,1064
72724,2479
72736,4439
72780,3794
72819,4887
72845,3118
72859,2975
72889,1075
72902,264
73049,553
73108,3655
73115,4958
73195,3028
73296,4606
73352,2594
73411,4620
73423,2451
73430,4432
73464,4125
73511,2685
73563,4612
73602,3498
73621,5138
73728,271
73755,226
73778,4577
73784,1349
73798,1008
73816,5237
73838,4459
73950,4704
73953,3481
73960,2950
73997,3690
74032,3675
74060,3290
74094,20
74122,1899
74125,3337
74149,2070
74178,4994
74222,3259
74247,2812
74295,2571
