"GiftId","TripId"
77,2828
118,3246
152,3210
155,4188
157,2667
167,1798
218,2926
287,1487
296,1477
302,4633
309,1249
390,3091
424,3721
538,184
569,4380
576,880
593,608
669,256
725,1832
1018,3477
1035,1615
1127,5177
1134,5227
1148,4933
1154,4180
1180,2477
1238,2281
1294,3666
1300,4187
1323,1407
1375,4654
1383,4304
1446,5078
1462,4658
1610,4188
1749,4761
1759,2699
1798,1226
1820,3849
1852,1371
1899,5059
1938,2800
1969,146
2044,3075
2099,5011
2205,4652
2224,3538
2261,2971
2273,434
2280,4912
2375,1510
2406,349
2435,2982
2484,5155
2573,1261
2581,3813
2670,4301
2720,2115
2727,3535
2852,1417
2855,557
2898,1442
2920,4748
2987,2118
2988,703
3058,4981
3076,938
3110,192
3222,3725
3335,3863
3374,4924
3376,793
3401,1091
3411,1542
3422,5007
3441,4278
3448,1204
3495,4159
3502,4765
3530,2819
3531,1010
3655,1008
3715,2546
3769,2771
3803,20
3821,1043
3832,4111
3860,3651
3881,3730
3901,333
3973,2686
3994,3483
4050,2898
4156,3443
4177,2143
4182,617
4224,1151
4225,2832
4232,4119
4267,5075
4376,2766
4386,1823
4401,3501
4464,5233
4645,2072
4657,1094
4730,3862
4837,3400
4843,3760
4889,514
4904,2030
4914,3684
4936,422
4963,2021
4970,1549
5047,2244
5050,568
5109,3198
5113,1663
5153,5100
5158,1906
5194,1603
5210,4280
5234,1691
5262,554
5276,2669
5310,407
5420,2867
5442,2786
5465,3486
5471,2975
5473,2666
5553,3889
5567,4353
5571,4998
5686,2718
5782,2410
5892,3065
5934,2660
5937,4811
6021,2029
6029,379
6055,4306
6062,4165
6163,3765
6174,2024
6278,4677
6288,1189
6332,3626
6425,4272
6562,2879
6590,2868
6594,127
6652,4567
6688,3420
6713,2658
6763,2447
6800,527
6863,4900
6910,2557
6968,2412
7021,2818
7110,1805
7115,5033
7236,4737
7293,1
7328,3291
7459,4727
7629,5176
7735,1061
7778,4871
7779,725
7808,3061
7845,1717
7865,97
7898,2255
7992,4880
8027,1129
8041,4704
8047,1549
8050,3585
8136,1640
8251,5107
8265,499
8322,4014
8398,3038
8443,157
8467,2357
8471,2924
8503,1084
8717,3133
8766,4201
8800,2897
8865,2265
8912,2893
8946,847
8953,553
9054,122
9131,3429
9224,4107
9351,1919
9413,2100
9474,188
9478,4756
9510,4067
9525,1849
9543,289
9601,3713
9616,524
9639,302
9678,2348
9847,4421
9886,1820
9896,1997
9963,607
10002,4585
10141,5190
10229,1073
10235,3047
10299,351
10337,1477
10339,3363
10344,2072
10397,2159
10506,3043
10539,1046
10557,2509
10683,2516
10692,1996
10740,2399
10802,3736
10834,2898
10870,4383
10882,910
10948,1944
10966,5038
11002,1544
11004,30
11064,2857
11071,3204
11091,4675
11142,1633
11155,2033
11211,2686
11234,2989
11350,3261
11397,1835
11427,3616
11439,2637
11591,2272
11605,634
11624,3502
11632,1883
11645,2669
11677,3103
11683,3904
11802,3943
11842,1761
11925,3309
11943,2076
12074,2128
12094,3204
12104,4806
12127,4682
12205,3870
12227,1518
12240,722
12265,3424
12285,206
12305,2132
12317,3697
12339,3069
12404,4294
12436,1954
12484,3408
12530,4258
12695,829
12773,975
12826,476
12872,3164
12998,2199
13030,1512
13042,2876
13058,434
13078,4166
13124,1169
13157,2314
13226,4258
13292,756
13318,363
13335,5215
13402,2404
13478,3017
13539,4641
13550,863
13562,3199
13572,5154
13743,3282
