"GiftId","TripId"
77,1414
118,146
152,2630
155,3238
157,2401
167,2649
218,2213
287,1980
296,1020
302,421
309,4199
390,1543
424,4544
538,4189
569,2131
576,1305
593,4195
669,1425
725,3585
1018,4375
1035,1937
1127,3187
1134,190
1148,1824
1154,1113
1180,1307
1238,129
1294,4903
1300,33
1323,2233
1375,4648
1383,3929
1446,4418
1462,2166
1610,3238
1749,2613
1759,3759
1798,4770
1820,3178
1852,1899
1899,4313
1938,282
1969,2990
2044,1725
2099,3249
2205,1011
2224,3968
2261,1960
2273,1982
2280,2822
2375,4470
2406,4352
2435,44
2484,1186
2573,2404
2581,400
2670,1552
2720,798
2727,19
2852,3820
2855,1506
2898,4175
2920,2948
2987,4481
2988,2415
3058,285
3076,4965
3110,3529
3222,4528
3335,1328
3374,4086
3376,3189
3401,1
3411,2326
3422,121
3441,274
3448,3620
3495,3896
3502,299
3530,2271
3531,2460
3655,2749
3715,1461
3769,4732
3803,2568
3821,24
3832,2325
3860,3332
3881,4736
3901,1735
3973,4068
3994,3819
4050,1336
4156,4172
4177,4486
4182,3981
4224,1166
4225,701
4232,588
4267,1251
4376,4251
4386,306
4401,3184
4464,2084
4645,4937
4657,3956
4730,4044
4837,1784
4843,4952
4889,1081
4904,3117
4914,888
4936,1505
4963,3869
4970,4338
5047,3139
5050,3087
5109,201
5113,2906
5153,798
5158,4513
5194,552
5210,3387
5234,1471
5262,3445
5276,471
5310,4741
5420,4138
5442,1146
5465,1653
5471,3443
5473,2206
5553,1476
5567,1039
5571,689
5686,208
5782,2346
5892,1524
5934,3020
5937,3400
6021,2410
6029,727
6055,3625
6062,344
6163,1639
6174,796
6278,2626
6288,1881
6332,1592
6425,4899
6562,4930
6590,3738
6594,1007
6652,1741
6688,4222
6713,2892
6763,3802
6800,4127
6863,4634
6910,4627
6968,3096
7021,2150
7110,4681
7115,695
7236,1584
7293,4221
7328,2444
7459,30
7629,4647
7735,1263
7778,1702
7779,4817
7808,3630
7845,784
7865,2976
7898,422
7992,3830
8027,1342
8041,4246
8047,2477
8050,1110
8136,664
8251,2881
8265,1180
8322,4922
8398,3642
8443,66
8467,1357
8471,1516
8503,3229
8717,2803
8766,2874
8800,2639
8865,2143
8912,3194
8946,3573
8953,2494
9054,3316
9131,4394
9224,3564
9351,2285
9413,2091
9474,4390
9478,1149
9510,1502
9525,1872
9543,1063
9601,2281
9616,3036
9639,3370
9678,2641
9847,2144
9886,218
9896,2253
9963,2309
10002,997
10141,4610
10229,49
10235,901
10299,2895
10337,1020
10339,772
10344,4422
10397,2772
10506,3808
10539,1822
10557,788
10683,3071
10692,2293
10740,436
10802,4887
10834,1336
10870,135
10882,4905
10948,4112
10966,3069
11002,3022
11004,3169
11064,429
11071,2398
11091,1156
11142,1608
11155,4138
11211,4582
11234,826
11350,4682
11397,1686
11427,4281
11439,2022
11591,1292
11605,697
11624,3939
11632,4473
11645,471
11677,4020
11683,559
11802,3927
11842,2615
11925,3402
11943,1504
12074,3872
12094,2398
12104,4837
12127,2494
12205,1675
12227,2292
12240,4209
12265,1313
12285,3968
12305,4832
12317,2687
12339,3357
12404,4462
12436,1917
12484,1768
12530,4900
12695,641
12773,2699
12826,4783
12872,4206
12998,2719
13030,3026
13042,4584
13058,2743
13078,2618
13124,4250
13157,1331
13226,3156
13292,1708
13318,3354
13335,1432
13402,4167
13478,4583
13539,549
13550,1407
13562,1862
13572,4451
13743,1160
13783,4815
13827,3869
13921,1545
13932,159
14020,3853
14032,1369
14060,3847
14119,1478
14146,320
14237,4756
14301,4754
14327,988
14331,510
14449,3880
14472,4478
14473,411
14545,2468
14558,1740
14691,2491
14709,633
14727,288
14784,3170
14816,4508
14848,4181
14850,4933
14862,796
14955,2059
14971,2872
15082,602
15252,317
15284,1198
15299,3535
15310,4169
15351,3386
15380,2120
15415,4758
15563,2418
15609,2760
15678,4341
15686,4958
15704,3484
15735,1221
15787,777
15815,222
15846,1608
15861,952
15890,1840
15904,361
15933,3806
15943,4334
16024,1242
16028,3343
16072,1490
16089,862
16146,2209
16215,3440
16279,3651
16283,2482
16336,2648
16343,4829
16386,76
16443,1929
16580,4926
16634,405
16682,4889
16699,1072
16704,78
16716,2516
16731,3296
16752,1938
16775,3494
16777,4450
16870,2703
16876,4158
16934,3898
16944,1177
16949,3353
16960,2907
16985,4693
16999,1933
17131,1499
17338,4101
17369,451
17411,1009
17413,2955
17485,2799
17505,3927
17573,2655
17649,4111
17760,2248
17793,2241
17857,450
17871,4959
17943,2578
17968,224
17989,666
18034,787
18043,2616
18065,4740
18067,951
18111,2959
18132,684
18154,3224
18168,3698
18240,1863
18248,3834
18272,1919
18323,4289
18325,1534
18332,1081
18360,4801
18378,4528
18411,2613
18435,4690
18472,1776
18487,4309
18505,2000
18523,235
18525,2273
18533,3058
18562,149
18602,930
18676,3638
18726,1106
18755,1644
18820,340
18826,1725
18842,3617
18872,1293
18878,1675
18929,3190
18930,1245
19000,2762
19005,1102
19053,2984
19095,1694
19151,2037
19181,2606
19243,859
19281,4913
19286,1141
19289,643
19293,4647
19604,4363
19678,4605
19773,4338
19785,2156
19830,1309
19867,2155
20000,322
20044,4590
20089,608
20106,2623
20126,1064
20158,3746
20159,2211
20217,1877
20259,3007
20266,111
20302,4925
20393,4437
20397,3464
20525,2406
20548,2997
20592,1800
20660,651
20685,2515
20713,198
20768,4523
20805,3517
20825,4359
20833,4702
20865,4514
20866,2599
20959,3147
20990,2353
21099,3265
21130,3396
21155,2068
21159,881
21182,3052
21226,4829
21294,4931
21336,344
21343,1587
21674,662
21723,3194
21785,3443
21882,861
21917,2142
21992,3693
22046,2253
22093,4303
22160,4229
22173,4040
22242,3445
22339,2152
22357,1322
22384,1381
22389,887
22452,3728
22503,4176
22510,878
22614,1156
22619,3442
22688,3919
22691,1041
22747,3773
22845,1897
23003,1917
23008,59
23018,3520
23082,3531
23105,2517
23134,1166
23139,3796
23199,2566
23210,2544
23250,2284
23313,1413
23355,336
23431,1935
23632,4857
23638,2993
23664,4833
23686,1768
23690,4524
23751,3774
23810,4132
23813,3672
23817,1595
23846,2851
23870,4341
23962,4027
24020,852
24068,3292
24071,3219
24080,377
24096,3029
24135,2202
24173,2499
24181,4367
24212,1602
24226,852
24359,747
24377,206
24463,1838
24471,277
24539,3324
24570,813
24587,3880
24605,2845
24618,785
24621,923
24664,379
24693,2810
24694,3042
24701,2242
24794,1724
24842,3948
24847,1329
24937,3480
24941,3037
24983,1314
25010,1292
25028,1870
25156,4223
25185,3127
25276,3276
25305,641
25336,4541
25375,1465
25401,4193
25502,279
25512,4230
25762,2517
25801,3051
25825,1489
25874,600
25959,706
25982,2897
26053,2269
26190,394
26298,2299
26359,4935
26395,4722
26398,1999
26520,556
26543,845
26550,989
26551,2220
26627,3725
26777,3312
26802,2493
26808,4657
26819,2001
27005,1721
27010,536
27085,3532
27100,2978
27115,1331
27142,2973
27148,4194
27266,2414
27338,143
27405,1000
27506,1428
27612,1832
27645,2334
27662,967
27689,1587
27717,1274
27732,920
27758,1881
27768,1213
27778,1740
27842,903
27862,124
27958,1435
28033,195
28061,3411
28069,2598
28073,359
28074,1927
28181,3173
28337,850
28376,3022
28428,48
28454,4595
28455,4870
28544,3643
28568,4503
28626,1108
28700,356
28714,3694
28719,622
28732,3587
28836,4375
28837,2566
28862,1318
28903,4383
28942,1227
28992,4231
28996,2389
29009,1995
29037,2414
29109,943
29198,1714
29254,125
29258,507
29318,106
29328,4787
29396,3115
29402,202
29475,3004
29481,4423
29522,2154
29591,3422
29597,4079
29604,847
29660,3045
29661,4508
29773,4521
29842,3617
29860,1024
29870,1341
29915,2760
29917,3400
30046,2685
30053,2762
30071,2374
30082,2986
30083,1526
30143,4317
30147,3766
30198,2348
30211,1222
30258,609
30288,1367
30311,103
30383,4150
30495,4831
30520,746
30531,4355
30597,2495
30692,3837
30815,1526
30819,4301
30916,3564
30979,115
31067,839
31132,4929
31140,2260
31155,2411
31211,726
31212,3985
31293,754
31337,1813
31400,4944
31467,2112
31476,4322
31511,2388
31519,1952
31600,2340
31658,3888
31668,1048
31671,486
31683,55
31693,1311
31713,994
31744,4327
31821,3883
31834,3401
31872,2876
31958,1903
32003,1598
32011,1381
32050,1329
32124,3097
32170,4555
32235,3563
32279,60
32379,2127
32380,2048
32387,974
32390,3551
32393,1957
32427,1057
32470,4565
32532,209
32534,3863
32563,3707
32581,3003
32622,3063
32631,4943
32664,1280
32674,415
32807,561
32833,1659
32923,2438
32962,789
32994,12
33031,708
33065,29
33099,2417
33120,3563
33150,4230
33195,1427
33213,1235
33224,2376
33291,3876
33335,1350
33369,1152
33424,712
33428,2029
33449,4592
33476,1744
33498,639
33533,4027
33590,247
33672,4518
33680,410
33681,853
33692,2421
33707,1163
33734,3183
33762,145
33772,321
33876,374
33942,1458
33946,4784
33953,3405
34118,569
34170,1881
34208,2947
34213,511
34268,1365
34301,3830
34309,2913
34333,4864
34343,3985
34416,3143
34465,3008
34550,228
34668,1549
34670,4690
34683,819
34697,2608
34706,4905
34738,3701
34768,3180
34822,1055
34903,1340
34910,119
35030,4242
35075,4464
35160,2344
35213,1684
35229,127
35246,4621
35321,3796
35352,2369
35367,3029
35435,876
35492,3282
35519,4828
35620,2352
35636,787
35711,4126
35785,1884
35840,1020
35855,590
35874,2390
36096,3174
36140,2006
36188,4224
36220,764
36224,4369
36238,4623
36273,2487
36285,982
36290,4740
36331,1144
36357,292
36452,135
36475,4633
36511,241
36527,1942
36537,4355
36585,2151
36656,8
36667,1406
36668,267
36669,2108
36704,3881
36718,1745
36759,177
36807,314
36904,522
36923,2432
36928,2282
37029,839
37082,2250
37083,2623
37095,2415
37159,820
37166,3659
37174,1376
37264,1938
37321,2317
37413,4664
37432,3127
37478,4146
37489,1700
37508,4701
37515,3359
37591,1348
37626,267
37664,453
37666,1569
37867,2543
37960,308
38010,4727
38046,1356
38075,1860
38086,2638
38196,4291
38246,3840
38253,4972
38352,207
38392,4224
38468,1239
38503,2440
38522,3366
38583,4071
38626,4503
38765,1639
38795,3623
38803,1280
38804,2566
38837,1448
38899,1871
38910,3495
38946,263
38981,3530
39064,1064
39088,2438
39116,2524
39168,1516
39187,254
39222,4212
39228,2948
39230,237
39288,358
39303,4737
39310,2857
39387,620
39394,2516
39478,3541
39490,435
39547,4801
39611,2637
39650,4988
39664,1326
39715,1380
39768,3983
39807,4723
