"GiftId","TripId"
77,349
118,521
152,3677
155,2049
157,3881
167,3565
218,1625
287,3731
296,2218
302,768
309,1151
390,3982
424,4449
538,206
569,2496
576,4414
593,1215
669,4153
725,1820
1018,1073
1035,3684
1127,572
1134,4074
1148,747
1154,5053
1180,2467
1238,3150
1294,5086
1300,2999
1323,2331
1375,2615
1383,4735
1446,127
1462,4359
1610,4984
1749,2001
1759,1933
1798,4955
1820,4526
1852,1180
1899,4230
1938,410
1969,3806
2044,4042
2099,4475
2205,5156
2224,713
2261,1188
2273,1795
2280,3587
2375,1651
2406,2263
2435,98
2484,2769
2573,3890
2581,2340
2670,3193
2720,806
2727,4101
2852,3163
2855,2798
2898,894
2920,3822
2987,3550
2988,249
3058,333
3076,3906
3110,546
3222,3806
3335,2539
3374,3704
3376,3509
3401,4819
3411,1115
3422,2909
3441,2479
3448,1770
3495,1116
3502,4924
3530,4371
3531,4912
3655,1597
3715,3530
3769,4218
3803,1842
3821,301
3832,3104
3860,2378
3881,2784
3901,1113
3973,2610
3994,2058
4050,5035
4156,2805
4177,4769
4182,3154
4224,431
4225,2941
4232,2554
4267,647
4376,1440
4386,3789
4401,3323
4464,1741
4645,1788
4657,2194
4730,4996
4837,3474
4843,1143
4889,4715
4904,2741
4914,142
4936,2321
4963,3032
4970,1972
5047,216
5050,2388
5109,2964
5113,4463
5153,2908
5158,2942
5194,4897
5210,3889
5234,304
5262,1046
5276,5189
5310,1123
5420,173
5442,203
5465,4529
5471,3787
5473,4885
5553,4544
5567,3430
5571,1571
5686,2292
5782,4112
5892,2437
5934,4915
5937,220
6021,3907
6029,2878
6055,761
6062,3334
6163,950
6174,2985
6278,3088
6288,4526
6332,2590
6425,4890
6562,429
6590,195
6594,1299
6652,1843
6688,1774
6713,2389
6763,4224
6800,2382
6863,2928
6910,1441
6968,89
7021,3089
7110,725
7115,2219
7236,3216
7293,4374
7328,3628
7459,4065
7629,3770
7735,798
7778,3317
7779,247
7808,1910
7845,966
7865,3780
7898,3184
7992,1668
8027,2661
8041,4950
8047,294
8050,2956
8136,2944
8251,263
8265,4712
8322,1014
8398,1585
8443,4908
8467,1320
8471,1607
8503,1562
8717,2030
8766,3318
8800,3243
8865,1769
8912,2096
8946,3424
8953,3593
9054,4012
9131,1682
9224,4291
9351,3739
9413,590
9474,2729
9478,930
9510,2906
9525,3568
9543,2264
9601,4135
9616,1100
9639,854
9678,1403
9847,664
9886,3148
9896,4660
9963,2751
10002,3896
10141,2760
10229,2768
10235,4888
10299,4514
10337,2218
10339,4482
10344,2957
10397,516
10506,3966
10539,3947
10557,682
10683,4721
10692,3074
10740,1562
10802,1932
10834,4934
10870,1253
10882,2213
10948,1080
10966,493
11002,126
11004,563
11064,2085
11071,94
11091,1980
11142,4805
11155,2176
11211,1752
11234,3976
11350,4854
11397,366
11427,1639
11439,4326
11591,2979
11605,3425
11624,2237
11632,1909
11645,5189
11677,5145
11683,1472
11802,560
11842,5041
11925,1146
11943,3941
12074,4181
12094,94
12104,661
12127,838
12205,4790
12227,601
12240,1913
12265,507
12285,713
12305,4813
12317,133
12339,4196
12404,5001
12436,4739
12484,1268
12530,3489
12695,5186
12773,4253
12826,651
12872,4258
12998,5169
13030,1504
13042,2164
13058,3293
13078,1240
13124,4494
13157,3566
13226,3489
13292,1822
13318,705
13335,4992
13402,4653
13478,241
13539,3618
13550,3858
13562,1797
13572,4380
13743,619
13783,1940
13827,3032
13921,2016
13932,2823
14020,1193
14032,452
14060,3223
14119,4176
14146,971
14237,3253
14301,3800
14327,1811
14331,3612
14449,4516
14472,321
14473,74
14545,3494
14558,1288
14691,4642
14709,1221
14727,4556
14784,4970
14816,3528
14848,606
14850,4695
14862,2985
14955,4981
14971,1391
15082,2196
15252,4257
15284,359
15299,3943
15310,3846
15351,3352
15380,3096
15415,3082
15563,1337
15609,2379
15678,4824
15686,1473
15704,4666
15735,2081
15787,2061
15815,5192
15846,4805
15861,444
15890,4283
15904,4619
15933,1258
15943,4427
16024,2436
16028,2519
16072,877
16089,1360
16146,2915
16215,789
16279,3507
16283,1355
16336,2103
16343,1519
16386,2383
16443,4689
16580,895
16634,2299
16682,5137
16699,5074
16704,55
16716,3701
16731,1915
16752,3544
16775,2682
16777,4945
16870,1689
16876,2900
16934,4822
16944,177
16949,3462
16960,636
16985,3950
16999,1060
17131,3097
17338,2735
17369,2384
17411,3435
17413,1805
17485,3755
17505,840
17573,114
17649,3470
17760,3834
17793,3053
17857,570
17871,1216
17943,4024
17968,1890
17989,3526
18034,4538
18043,474
18065,764
18067,4857
18111,253
18132,4139
18154,1794
18168,1898
18240,4373
18248,999
18272,735
18323,4167
18325,2593
18332,4715
18360,2112
18378,3211
18411,3630
18435,3365
18472,632
18487,868
18505,2832
18523,2285
18525,2977
18533,989
18562,919
18602,4120
18676,5163
18726,2712
18755,2870
18820,3210
18826,4042
18842,504
18872,1631
18878,4790
18929,2295
18930,3900
19000,646
19005,3933
19053,3314
19095,167
19151,5180
19181,4160
19243,2417
19281,196
19286,223
19289,3945
19293,5187
19604,174
19678,1026
19773,1972
19785,3668
19830,4242
19867,2284
20000,1218
20044,2889
20089,4232
20106,1861
